Compound,G_sol,DeltaG_sol,volume,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS
YUWFEBAXEOLKSG-UHFFFAOYSA-N,-22430.7765,13.199000000000002,227.04,0.07257589999999997,12.793,13.729,0.0,-1.62759,-0.18635,0.09144,0.0,162.2742,383.672699,-5.23
YVWZWRFAFZRJGU-UHFFFAOYSA-N,-27830.9439,-23.6335,312.023,3.19409,11.959,14.517,-1.50453,-0.39592,-0.43896,0.38165,-1.84056,263.2926,498.6098328,-1.349
YWBVHLJPRPCRSD-UHFFFAOYSA-N,-30193.2744,949.4691,368.473,9.42161,12.130999999999998,13.339,-0.4280600000000001,-1.00512,-0.4280600000000001,0.4582600000000001,-1.06145,329.3209,562.6322021000002,-4.44
YZMCKZRAOLZXAZ-UHFFFAOYSA-N,-28149.487,61.8808,307.673,6.8048600000000015,11.625,13.422,-1.94004,-1.3535700000000002,-0.97612,2.8384,-0.87121,278.3282,501.8950806,-2.27725
YZVWKHVRBDQPMQ-UHFFFAOYSA-N,-23704.1596,-3.6129,254.525,2.41413,11.89,12.767,0.0,-1.43526,-0.39847,0.24691,-0.39847,217.2696,404.5418396,-0.6127199999999999
ZAFYATHCZYHLPB-UHFFFAOYSA-N,-30413.8663,816.803,381.334,8.096169999999999,11.970999999999998,13.385,-0.44541,-1.47154,-0.44541,0.31742,-1.04155,307.3944,575.1503296,-1.297
ZCINFQNVNLHJOV-UHFFFAOYSA-N,-25556.4734,-29.6525,254.065,5.43889,10.839,14.744000000000002,-1.38415,-0.35418,-0.39839,0.60232,-1.09299,214.2206,430.449646,-4.331
ZDPHROOEEOARMN-UHFFFAOYSA-N,-26377.5534,6.0745,267.028,2.13112,13.611,15.578,-0.78217,-1.33915,-0.43807,0.35183000000000003,-0.78217,186.2936,485.3204651,-3.55
ZDXPYRJPNDTMRX-VKHMYHEASA-N,-22298.4735,-93.537,172.485,4.63306,13.449000000000002,14.893,-1.24744,0.29403,-0.47627,0.3267,-2.03472,146.1456,317.37652589999993,-0.55
ZEKZLJVOYLTDKK-UHFFFAOYSA-N,-31875.9337,-490.8746,384.252,7.768839999999999,11.44,13.629,-1.15801,-0.25928,-0.45678,0.42857,-2.05681,351.3522,560.2598267000002,-2.3328
ZGEGCLOFRBLKSE-UHFFFAOYSA-N,-20951.6021,-353.4329,159.921,0.255678,13.776,14.767,0.0,-1.26434,-0.24114,0.12936,0.0,98.1876,333.22052,-3.73
ZGRYQDHDZGJMNF-UHFFFAOYSA-N,-26732.0161,892.0099,266.556,8.31092,11.088,14.422,-4.2270699999999986,-2.7287,-1.02,2.85726,1.02022,283.3318,426.7894592,-1.589
ZIEWAMOXCOLNSJ-UHFFFAOYSA-N,-28660.3467,1587.6867,307.789,3.19595,10.629,14.816,-0.9756,0.23747,-0.37967,0.33752,-1.3807,318.5433,466.1365662,-5.03
ZISSAWUMDACLOM-UHFFFAOYSA-N,-19284.6526,3.6108,161.917,0.07502239999999999,16.222,15.595,0.0,-1.2234,-0.21598,0.08932000000000001,0.0,100.2034,301.1340332,-4.36
ZJJXGWJIGJFDTL-UHFFFAOYSA-N,-38358.5958,-1156.0782,505.088,11.7689,11.413,14.597,-2.84302,-1.71179,-0.96506,2.84279,-1.87656,445.5354,771.5485229,-5.4881
ZJYJZEAJZXVAMF-UHFFFAOYSA-N,-22173.2279,7.1499,193.091,7.4721199999999985,11.057,13.800999999999998,-0.80833,-0.90874,-0.40554,0.58025,-0.22808,173.1708,348.5960083,-3.824
ZLAQATDNGLKIEV-UHFFFAOYSA-N,-21015.5175,-77.899,158.648,4.0359099999999986,11.745,14.213,-0.30712,-0.18408,-0.30712,0.29769,-0.76022,142.1752,304.7593689,-2.45
ZMANZCXQSJIPKH-UHFFFAOYSA-N,-19598.3672,-5.5556,158.408,1.35789,15.373,13.849,0.0,-0.90739,-0.27585,0.09882,-0.27585,101.1912,318.6445923,-0.14
