Compound,G_sol,DeltaG_sol,sol_dip,Lsolu_Hsolv,Lsolv_Hsolu,O_charges,C_charges,Most_neg,Most_pos,Het_charges,volume,MW,SASA,LogS
QIGBRXMKCJKVMJ-UHFFFAOYSA-N,-23.95309244,-0.016241702,0.017,5.5947,13.0818,0.13338015,-1.06350167,-0.50533831,0.37959418,0.13338015,129.106,110.1122,272.7980347,-0.17
QIQXTHQIDYTFRH-UHFFFAOYSA-N,-64.6525489,-0.015141548999999999,2.605,5.3394,13.3002,0.37052686,-1.94527529,-0.48910528,0.41574303,0.37052686,418.47,284.4812,706.7457886,-5.68
QKLSCPPJEVXONT-UHFFFAOYSA-N,-59.82630561,-0.036045573,11.084000000000001,4.9313,12.5287,0.74844023,-1.75374729,-0.66431806,1.16883304,0.21295285,318.92,294.3276,513.7689209,-2.54
QNAYBMKLOCPYGJ-UHFFFAOYSA-N,-20.98708977,-0.015743286999999998,2.457,5.0943,12.6616,0.35502933,-1.27998566,-0.49300896,0.41967570000000004,0.38508706,110.45100000000001,89.0938,249.7532501,0.27184200000000003
QNIUOGIMJWORNZ-UHFFFAOYSA-N,-64.96741828,-0.011408573,5.69,4.3551,11.8952,0.51191314,-1.76295191,-0.50714386,0.35442263,0.52059336,379.727,293.4052,620.9702147999999,-3.84
QPPBRPIAZZHUNT-UHFFFAOYSA-N,-52.60732922,-0.034841431,11.31,4.5236,12.4629,0.51166347,-1.63933664,-0.65942943,1.16822304,0.27633687,284.846,264.3014,467.1244202,-2.8209
QQBKLRXLVRDKEB-UHFFFAOYSA-N,-59.28406738,-0.015521136000000001,2.8930000000000002,4.5272,13.5172,0.49654997,-1.50542232,-0.51139597,0.39336497,0.29086801,316.959,282.2982,494.50521849999996,-4.468999999999999
QQODLKZGRKWIFG-UHFFFAOYSA-N,-84.92108559,-0.019019541,4.262,4.6639,13.3308,0.03133802,-1.40740641,-0.47384438,0.36580898,0.26884134,484.977,434.2935,727.7011107999999,-7.339998
QRXWMOHMRWLFEY-UHFFFAOYSA-N,-29.12618883,-0.017275767,4.462,4.2164,12.3916,0.0,-1.04591966,-0.53555687,0.26137496,0.21107231,156.965,137.1408,312.944458,0.01
QSNYNWOQOIJCFV-UHFFFAOYSA-N,-75.27159935,-0.03066303,11.960999999999999,3.8753,12.3321,0.06855938,-1.97177811,-0.51894179,0.41443061,0.34199075,375.871,349.3364,559.2344360000001,-5.312
