Compound,G_sol,DeltaG_sol,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,volume,LogS,Lsolu_Hsolv,Lsolv_Hsolu
HYJSGOXICXYZGS-UHFFFAOYSA-N,-26063.4825,94.0293,6.04005,-1.17353,-0.18563,-0.4642,0.41203,-0.76169,243.6643,381.9944153,239.30700000000002,-2.61,11.466,13.524000000000001
HYVMOJOTZLNZPF-UHFFFAOYSA-N,-27531.95,-535.4728,5.01529,-4.04724,-1.7558900000000002,-0.92748,2.4469,0.84357,281.316,423.7268982,256.906,-3.6710000000000003,10.49,14.407
IAIWVQXQOWNYOU-UHFFFAOYSA-N,-24817.5801,94.2746,7.07838,-1.84023,-0.5021800000000001,-0.6664,1.3231600000000001,-0.24538000000000001,198.1378,387.24215699999996,208.041,-2.92,10.5,12.76
IAKOZHOLGAGEJT-UHFFFAOYSA-N,-30445.0448,-22.8253,2.78966,-0.43632,-1.08202,-0.21839,0.13924,-0.36817,345.6523,550.27948,364.306,-6.589107,11.873,13.395
IDCPFAYURAQKDZ-UHFFFAOYSA-N,-19606.8758,-198.6907,9.33237,-1.3082799999999999,-0.00447,-0.67453,1.30329,-0.43563,104.0682,245.26754759999997,106.89399999999999,-1.37,12.449000000000002,13.171
IFEKQNAXDMZERW-UHFFFAOYSA-N,-24833.8344,115.6266,4.84323,-0.78213,-0.47539,-0.46865,0.43306000000000006,-0.79173,205.2158,398.85226439999997,239.238,-1.4069999999999998,12.005,12.948
IFLREYGFSNHWGE-UHFFFAOYSA-N,-24155.696,-71.5946,0.00304413,0.0,-1.44329,-0.10695999999999999,0.12753,0.0,228.2928,441.3423767,276.246,-8.59998,10.693,12.055
IIZIPXWXNPFUOU-UHFFFAOYSA-N,-30680.755,-179.1074,1.7028400000000001,-1.57087,-0.04955,-0.49643999999999994,0.46343999999999996,-1.5394299999999999,251.2816,489.18292239999994,304.123,-1.367,11.800999999999998,13.762
IKECULIHBUCAKR-UHFFFAOYSA-N,-21215.2416,78.6852,1.76964,-0.37313,-0.56482,-0.37313,0.2261,-0.37313,102.176,293.6345825,152.585,-0.41,15.460999999999999,15.234000000000002
IKZBNCORGKYEDZ-UHFFFAOYSA-N,-30512.8538,284.5346,7.841080000000001,-1.24789,-0.6229899999999999,-0.51153,0.51754,-1.08008,335.3096,530.4804077,352.782,-5.269,11.262,13.061
IMIDOCRTMDIQIJ-UHFFFAOYSA-N,-26883.7092,-61.9089,3.83185,-0.75483,-0.42046999999999995,-0.55602,0.34983000000000003,-0.6993699999999999,208.2596,449.63876339999996,262.808,-2.36,12.187000000000001,13.522
IMMLSOUHQHJKTL-UHFFFAOYSA-N,-40212.5449,-129.3877,3.4578599999999997,-1.90288,-0.39746,-0.50051,0.40963,-1.80103,467.348,699.114624,521.9119999999999,-1.45272,12.065,12.636
IMNFDUFMRHMDMM-UHFFFAOYSA-N,-22319.3999,184.4983,0.00299905,0.0,-0.79074,-0.11669000000000002,0.05546,0.0,100.2034,340.0371704,165.81799999999998,-4.53,15.725,15.671
IMONTRJLAWHYGT-UHFFFAOYSA-N,-32463.7574,6.7563,2.81038,-1.1222299999999998,-1.11867,-0.46566,0.4016,-1.1222299999999998,340.4614,579.336731,420.293,-4.79,12.202,14.119000000000002
IMPKVMRTXBRHRB-UHFFFAOYSA-N,-22708.7236,-226.9172,5.9961,-1.79088,0.18775,-0.37594,0.23494,-1.79088,164.1578,320.2976379,182.025,-0.17,14.799000000000001,14.981
IMWQMZMZPWIQBE-UHFFFAOYSA-N,-25448.8025,245.0205,3.13721,-1.1825700000000001,0.22119,-0.59135,0.22326999999999997,-1.1194600000000001,186.173,396.4159546,212.267,-1.9480000000000002,11.73,13.059000000000001
IPCSVZSSVZVIGE-UHFFFAOYSA-N,-36640.2007,79.5782,2.26439,-0.80999,-1.23011,-0.48667,0.43236,-0.80999,256.4276,643.2553711,375.32300000000004,-6.809999,13.394,15.63
IPEHBUMCGVEMRF-UHFFFAOYSA-N,-20270.7005,-27.0023,5.214980000000001,-0.5322899999999999,-0.09116,-0.5322899999999999,0.27460999999999997,-0.50041,123.11399999999999,281.4981995,137.27700000000002,-0.74,11.52,13.992
IQUPABOKLQSFBK-UHFFFAOYSA-N,-21731.6944,481.9487,6.74975,-1.62895,-0.55095,-0.67209,1.3997600000000001,-0.22919,139.1104,288.76617430000005,148.124,-1.74,11.415,14.19
