Compound,G_sol,DeltaG_sol,volume,sol_dip,O_charges,C_charges,Most_neg,Most_pos,Het_charges,MW,SASA,LogS,Lsolu_Hsolv,Lsolv_Hsolu
UPMXNNIRAGDFEH-UHFFFAOYSA-N,-24556.3051,41.6822,202.56,2.3115099999999997,-0.31113,0.08876,-0.31113,0.25164000000000003,-0.53745,276.9148,344.9935913,-3.33,11.241,15.427999999999999
UPTOWXNJLZJTGD-UHFFFAOYSA-N,-23506.1266,198.6385,200.678,9.55253,-1.3532899999999999,0.44556,-0.40125,0.53101,-0.8222799999999999,183.1634,370.4014587,-3.117,10.887,14.63
UQDUPQYQJKYHQI-UHFFFAOYSA-N,-27277.821,25.6483,310.32599999999996,1.88736,-0.76764,0.44298999999999994,-0.43691,0.3809,-0.76764,214.3472,549.3039551,-4.69,13.113,16.753
UQIKOYWGLUXMNE-UHFFFAOYSA-N,-30004.9746,-4.5978,340.181,3.28295,-1.9114400000000002,1.52282,-0.44046,0.43696999999999997,-2.32609,291.303,541.2770386,-2.084,11.708,15.21
URAYPUMNDPQOKB-UHFFFAOYSA-N,-27032.1583,6.3876,258.993,3.2854099999999997,-2.2214400000000003,1.67957,-0.44065,0.37492,-2.2214400000000003,218.206,450.05828859999997,-0.6,13.05,17.007
UREBDLICKHMUKA-DVTGEIKXSA-N,-30662.8635,-13.0004,442.82300000000004,7.1474899999999995,-1.77869,0.56968,-0.38316,0.3296,-2.04072,392.4665,568.8005981000001,-3.7945,11.597999999999999,15.728
UVKZSORBKUEBAZ-UHFFFAOYSA-N,-26838.9204,-0.317,347.091,0.39427,0.0,0.01107,-0.38834,0.1781,-0.7397,266.3852,511.7869568,-1.527,12.304,14.787
UVTNFZQICZKOEM-UHFFFAOYSA-N,-30659.9598,172.3227,428.61,2.7326099999999998,-0.46243999999999996,0.19464,-0.46243999999999996,0.37723,-1.45272,339.4796,604.3138428,-1.75,12.095999999999998,15.011
UYXAWHWODHRRMR-UHFFFAOYSA-N,-24932.9484,-253.0677,271.408,0.9174,-1.20415,1.3240399999999999,-0.45255,0.5138,-1.91003,236.27,436.02767939999995,-2.76364,12.075999999999999,15.717
VAOCPAMSLUNLGC-UHFFFAOYSA-N,-23086.8246,4.7838,191.88,5.58075,-1.13999,0.49585,-0.38626,0.55607,-1.08386,171.1554,338.605896,-1.20351,10.956,15.635
VDAMAZDKFJYVCT-UHFFFAOYSA-N,-28891.472999999998,-128.0799,333.38199999999995,11.8314,-3.4451300000000002,-1.1812200000000002,-0.79878,1.9505599999999998,0.04956,333.3916,522.2833862,-4.2219999999999995,10.356,15.242
VDTNNGKXZGSZIP-UHFFFAOYSA-N,-28408.8421,210.38,305.731,8.88693,-2.05747,0.24531999999999998,-0.78246,1.91323,-1.54787,271.3336,515.7579346,-2.18,10.539000000000001,14.448
VGGSQFUCUMXWEO-UHFFFAOYSA-N,-13079.0476,-0.3084,53.1113,0.00196119,0.0,-0.17795,-0.08897999999999999,0.044539999999999996,0.0,28.0536,168.6442261,-0.4,13.562000000000001,15.735999999999999
VGPYEHKOIGNJKV-UHFFFAOYSA-N,-25685.4789,2.7797,238.497,8.52784,-2.33543,0.33525,-0.77072,1.91363,-1.40447,230.238,420.4824524,-1.66,10.37,14.475
VGQLNJWOULYVFV-UHFFFAOYSA-N,-24191.193,6.3619,246.68,3.3288300000000004,-1.46726,0.84355,-0.41173000000000004,0.36696,-1.46726,210.2292,421.44052120000003,-1.2,12.785,15.503
VGVIKVCCUATMNG-UHFFFAOYSA-N,-25525.1315,-74.8339,262.503,2.5847,0.0,-0.27917,-0.09061,0.10182999999999999,-0.26306,257.5463,426.9241028,-6.27,11.274000000000001,14.792
VGZSUPCWNCWDAN-UHFFFAOYSA-N,-29588.1088,523.9812,364.61699999999996,6.20761,-2.38574,0.38515,-0.7700199999999999,1.91083,-1.50851,324.394,572.0822143999999,-2.06,10.294,15.527000000000001
VHZXNQKVFDBFIK-NBBHSKLNSA-N,-27818.3894,169.4293,360.046,4.43628,-0.30130999999999997,0.02028,-0.30130999999999997,0.26928,-0.5656899999999999,290.4201,498.08703610000003,-6.79588,12.414000000000001,15.286
VIKNJXKGJWUCNN-XGXHKTLJSA-N,-28988.4424,236.1926,378.686,4.13981,-0.73473,-0.19527,-0.37261,0.29716,-0.73473,298.4242,516.3717651000001,-4.693980000000001,11.98,15.630999999999998
VKNITLPENCJQOP-UHFFFAOYSA-N,-26806.0015,-854.5802,238.643,4.59244,-0.59251,0.62197,-0.31158,0.2107,-0.80561,241.5011,382.8556213,-4.37,11.302999999999999,15.062999999999999
VLKZOEOYAKHREP-UHFFFAOYSA-N,-19468.7737,-1.7084,144.275,0.000288091,0.0,-0.04264,-0.03135,0.02767,0.0,86.1766,310.0846252,-3.84,15.703,17.095
VLYWMPOKSSWJAL-UHFFFAOYSA-N,-27327.0059,-4.1965,295.346,8.773819999999999,-1.8469099999999998,-2.9999999999999997e-05,-0.78928,1.9093200000000001,-1.24785,280.3008,485.39355470000004,-3.28,10.657,14.427
VMKOFRJSULQZRM-UHFFFAOYSA-N,-23428.3316,36.1853,216.243,2.56412,0.0,-0.026330000000000003,-0.21763000000000002,0.0807,-0.21763000000000002,193.1263,404.6979675,-5.06,12.443,16.844
VOEYXMAFNDNNED-UHFFFAOYSA-N,-23494.0433,235.3457,202.55599999999998,2.50316,-0.76279,0.6041300000000001,-0.50336,0.50559,-1.15,165.1914,383.9714355,-1.8,12.114,15.015
VOKSWYLNZZRQPF-GDIGMMSISA-N,-27541.48,3.3895,372.275,1.85655,-0.32854,0.00902,-0.36358,0.23041,-0.69212,285.4284,537.7850952,-3.8032,12.195,14.742
VOXZDWNPVJITMN-UHFFFAOYSA-N,-27508.0442,-114.0764,335.588,1.67245,-0.70192,-0.20493000000000003,-0.37261,0.22971,-0.70192,272.3864,482.11947630000003,-4.84,12.22,14.772
VPGRYOFKCNULNK-UHFFFAOYSA-N,-32031.2878,62.1365,459.385,3.5023400000000002,-1.46133,0.66068,-0.43432,0.37263,-1.46133,372.5034,593.8684082000001,-4.63,11.837,15.537
VREFGVBLTWBCJP-UHFFFAOYSA-N,-27605.5871,-28.3383,339.6,7.54334,0.0,0.14898,-0.3195,0.1754,-0.96447,308.7695,517.0610352,-3.4330000000000003,11.107000000000001,15.023
VSNHCAURESNICA-UHFFFAOYSA-N,-17657.0122,-100.4754,82.4982,6.813960000000001,-0.7268399999999999,0.52083,-0.54352,0.52083,-1.41541,76.0548,213.03703309999997,1.12,13.380999999999998,15.647
VUNCWTMEJYMOOR-UHFFFAOYSA-N,-24816.4889,-26.0835,232.423,1.07332,0.0,0.2322,-0.10182999999999999,0.2174,-0.23221,272.77299999999997,357.1887512,-5.18,10.118,15.954
VVNCNSJFMMFHPL-UHFFFAOYSA-N,-21639.4251,33.2057,179.165,2.97949,-0.7417600000000001,0.36733000000000005,-0.43317,0.35498,-1.05746,149.2074,310.7606506,-0.13,12.899000000000001,15.296
VVQNEPGJFQJSBK-UHFFFAOYSA-N,-19450.3111,-41.4831,131.845,1.6897,-0.77832,0.59613,-0.44978999999999997,0.43767,-0.77832,100.117,283.2293396,-0.8,12.203,15.88
VVSSGCCPNDSLPL-UHFFFAOYSA-N,-26244.9363,-355.9541,253.916,10.4776,-3.1242,-1.31203,-0.79308,1.9452200000000002,0.31116,267.3324,420.0284119,-2.679,10.253,15.786
VWPOSFSPZNDTMJ-UCWKZMIHSA-N,-29919.5538,74.4668,388.30699999999996,6.53808,-1.39654,0.45986000000000005,-0.37818,0.21183000000000002,-1.7338,309.4046,566.6673584,-1.008,12.255,14.492
VXGYRCVTBHVXMZ-UHFFFAOYSA-N,-22392.2014,24.819000000000003,194.018,1.36279,-0.77149,0.31966,-0.45453999999999994,0.44136000000000003,-1.0817700000000001,173.1708,348.3623962,-0.043,11.165999999999999,14.707
VXIVSQZSERGHQP-UHFFFAOYSA-N,-18687.0559,-215.9433,99.2661,6.29483,-0.46612,0.46402,-0.46612,0.35865,-1.03703,93.5127,230.4918518,-0.02,12.718,16.299
VXLVYFXPZGPXCT-UHFFFAOYSA-N,-28291.0024,-179.3635,318.14,11.187000000000001,-3.47263,-0.8201799999999999,-0.80086,1.9634599999999998,-0.36196,317.33099999999996,515.1323242,-3.0239999999999996,10.152000000000001,15.237
VYWYYJYRVSBHJQ-UHFFFAOYSA-N,-24486.463,164.3372,207.938,4.995419999999999,-2.24131,0.55658,-0.43441,0.53059,-1.18066,212.1184,364.5610352,-2.417,10.435,16.335
WBJINCZRORDGAQ-UHFFFAOYSA-N,-18684.2755,496.6325,95.5052,5.21093,-0.77049,0.5959399999999999,-0.42751000000000006,0.41639,-0.77049,74.0792,233.32530209999996,0.15,13.284,16.930999999999997
WCLNVRQZUKYVAI-UHFFFAOYSA-N,-32972.1775,-253.9975,362.406,1.7985400000000002,-0.35769,0.6147699999999999,-0.18247,0.11427999999999999,-0.72906,425.3097,508.2099915,-11.221848,10.690999999999999,14.732999999999999
WCYYQNSQJHPVMG-UHFFFAOYSA-N,-30485.9534,255.4382,340.324,0.334853,-0.37373,0.51331,-0.18713,0.11404,-0.72959,390.8646,492.6019287,-9.950782,10.782,14.627
WDCYWAQPCXBPJA-UHFFFAOYSA-N,-21826.8306,154.7225,169.68900000000002,6.48574,-1.5177399999999999,0.0245,-0.38061999999999996,0.52903,-0.45991000000000004,168.1086,318.8885193,-2.29,10.562000000000001,16.033
